epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,118.549,0.51195,0.4394,0.86242,0.95424,0.99217,0.99359,0.89032,0.54478,0.39611,0.81144,0.00073025,0.00073025,0.00073025
44,120.9,0.51896,0.46767,0.87084,0.95531,0.98932,0.995,0.89019,0.54629,0.39199,0.80608,0.000717875,0.000717875,0.000717875
45,123.227,0.49375,0.44443,0.85386,0.95998,0.99193,0.99011,0.88602,0.53184,0.39805,0.80747,0.0007055,0.0007055,0.0007055
46,125.576,0.53087,0.46599,0.87991,0.9695,1,0.99261,0.90388,0.4883,0.33642,0.8,0.000693125,0.000693125,0.000693125
47,127.885,0.53209,0.44758,0.89544,0.97919,1,0.99359,0.91237,0.47882,0.34351,0.79783,0.00068075,0.00068075,0.00068075
48,130.223,0.48617,0.4443,0.87727,0.97959,1,0.995,0.91107,0.52672,0.34217,0.80208,0.000668375,0.000668375,0.000668375
49,132.564,0.51506,0.43624,0.85878,0.97664,1,0.99457,0.90818,0.5379,0.34872,0.81114,0.000656,0.000656,0.000656
50,134.905,0.51518,0.43405,0.86691,0.96304,0.99722,0.99457,0.91125,0.51376,0.34526,0.79991,0.000643625,0.000643625,0.000643625
51,137.235,0.51133,0.4364,0.86688,0.95896,0.97657,0.99457,0.88803,0.48582,0.3473,0.79808,0.00063125,0.00063125,0.00063125
52,139.574,0.49896,0.4792,0.87324,0.96188,0.9693,0.995,0.91591,0.52392,0.3612,0.80302,0.000618875,0.000618875,0.000618875
53,141.896,0.50428,0.42429,0.86289,0.9498,0.97744,0.99457,0.90986,0.52114,0.35876,0.79962,0.0006065,0.0006065,0.0006065
54,144.264,0.49902,0.42549,0.86797,0.96667,0.98336,0.99431,0.90439,0.51369,0.36098,0.80516,0.000594125,0.000594125,0.000594125
55,146.574,0.49425,0.403,0.8618,0.95443,0.9922,0.995,0.90475,0.56056,0.38284,0.81165,0.00058175,0.00058175,0.00058175
56,148.918,0.47491,0.42406,0.85547,0.94841,0.99755,0.9897,0.89662,0.53605,0.34485,0.80756,0.000569375,0.000569375,0.000569375
57,151.207,0.46835,0.40996,0.84809,0.96457,1,0.98691,0.89259,0.49289,0.34283,0.79482,0.000557,0.000557,0.000557
58,153.658,0.48581,0.41896,0.85742,0.94107,1,0.98761,0.88687,0.49442,0.37976,0.80078,0.000544625,0.000544625,0.000544625
59,156.024,0.48399,0.40593,0.85966,0.94123,1,0.97843,0.89026,0.52525,0.36311,0.80511,0.00053225,0.00053225,0.00053225
60,158.375,0.48191,0.39949,0.86313,0.95733,1,0.97955,0.88951,0.56181,0.35564,0.81397,0.000519875,0.000519875,0.000519875
61,160.666,0.48916,0.40891,0.87144,0.95452,1,0.99359,0.90281,0.53747,0.32862,0.80778,0.0005075,0.0005075,0.0005075
62,163.001,0.48012,0.39497,0.87577,0.96612,0.98001,0.99347,0.90203,0.55134,0.36377,0.80487,0.000495125,0.000495125,0.000495125
63,165.312,0.49256,0.40567,0.86249,0.95758,0.975,0.99273,0.89211,0.51217,0.38937,0.79771,0.00048275,0.00048275,0.00048275
64,167.627,0.471,0.41699,0.8613,0.94526,0.99114,0.995,0.91176,0.49435,0.35578,0.7955,0.000470375,0.000470375,0.000470375
65,170.003,0.48117,0.38385,0.8501,0.93044,1,0.995,0.90548,0.4706,0.34883,0.79743,0.000458,0.000458,0.000458
66,172.315,0.47004,0.39142,0.86397,0.94457,1,0.99304,0.8938,0.49138,0.34178,0.79721,0.000445625,0.000445625,0.000445625
67,174.629,0.4552,0.37982,0.86607,0.94404,1,0.99015,0.91083,0.47635,0.33467,0.80391,0.00043325,0.00043325,0.00043325
68,176.964,0.44601,0.37407,0.84578,0.94529,1,0.99347,0.91856,0.50636,0.331,0.8012,0.000420875,0.000420875,0.000420875
69,179.298,0.4706,0.3648,0.86298,0.95671,1,0.99249,0.90308,0.45839,0.30232,0.79289,0.0004085,0.0004085,0.0004085
70,181.611,0.45604,0.36872,0.85301,0.96622,1,0.98775,0.9052,0.50116,0.33042,0.80594,0.000396125,0.000396125,0.000396125
71,183.933,0.42171,0.35229,0.84783,0.96399,1,0.99333,0.9106,0.52303,0.33275,0.80606,0.00038375,0.00038375,0.00038375
72,186.267,0.45863,0.36107,0.86052,0.97072,0.97662,0.99402,0.91596,0.47237,0.33012,0.79674,0.000371375,0.000371375,0.000371375
73,188.579,0.43397,0.35026,0.84908,0.97929,0.97727,0.99402,0.91221,0.48873,0.36111,0.8003,0.000359,0.000359,0.000359
74,190.915,0.48214,0.36349,0.85786,0.96555,1,0.99235,0.90686,0.50667,0.3688,0.80966,0.000346625,0.000346625,0.000346625
75,193.235,0.46158,0.38004,0.86305,0.9663,0.98942,0.98858,0.90944,0.53187,0.3684,0.80703,0.00033425,0.00033425,0.00033425
76,195.574,0.483,0.36192,0.8538,0.96494,1,0.98456,0.89553,0.50598,0.30483,0.81686,0.000321875,0.000321875,0.000321875
77,197.875,0.4492,0.34892,0.84186,0.954,1,0.98456,0.89313,0.52184,0.34119,0.80953,0.0003095,0.0003095,0.0003095
78,200.217,0.45069,0.34136,0.85717,0.94016,1,0.98833,0.89192,0.5371,0.34798,0.80679,0.000297125,0.000297125,0.000297125
79,202.521,0.436,0.35823,0.86396,0.93832,1,0.98401,0.89986,0.5555,0.35724,0.81219,0.00028475,0.00028475,0.00028475
80,204.876,0.42412,0.33709,0.85022,0.95865,1,0.9922,0.89777,0.5463,0.34614,0.80704,0.000272375,0.000272375,0.000272375
81,207.142,0.44435,0.34313,0.86058,0.96211,1,0.995,0.90545,0.52939,0.35819,0.81011,0.00026,0.00026,0.00026
82,209.493,0.42532,0.34712,0.84443,0.97436,0.9938,0.99457,0.91727,0.51245,0.35002,0.80396,0.000247625,0.000247625,0.000247625
83,211.789,0.43052,0.34368,0.85552,0.97735,1,0.995,0.91304,0.52888,0.32976,0.81092,0.00023525,0.00023525,0.00023525
84,214.145,0.43131,0.33134,0.84165,0.97379,1,0.99457,0.91323,0.5222,0.33329,0.80226,0.000222875,0.000222875,0.000222875
85,216.54,0.41197,0.32708,0.85018,0.97175,1,0.99163,0.91214,0.54107,0.32947,0.8052,0.0002105,0.0002105,0.0002105
86,218.873,0.41183,0.32709,0.85157,0.97181,1,0.99163,0.90506,0.49385,0.30485,0.80076,0.000198125,0.000198125,0.000198125
87,221.182,0.42159,0.31888,0.85169,0.96884,1,0.99402,0.91856,0.49315,0.29831,0.79653,0.00018575,0.00018575,0.00018575
88,223.512,0.42963,0.32292,0.85183,0.96775,1,0.99431,0.92128,0.45437,0.29517,0.7929,0.000173375,0.000173375,0.000173375
89,225.831,0.4163,0.31472,0.85404,0.96437,1,0.99402,0.91705,0.49215,0.30707,0.79653,0.000161,0.000161,0.000161
90,228.163,0.40083,0.30946,0.84534,0.95768,1,0.99207,0.91877,0.49475,0.30333,0.79388,0.000148625,0.000148625,0.000148625
