epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,746.364,0.77724,0.45403,0.0067,0.9652,0.96526,0.98796,0.83127,0.65258,0.27401,0.00732,0.00112605,0.00112605,0.00112605
43,764.697,0.77268,0.4473,0.00642,0.97409,0.96072,0.99084,0.8261,0.68855,0.28024,0.00812,0.00112016,0.00112016,0.00112016
44,784.814,0.75836,0.44857,0.00645,0.97016,0.94951,0.98924,0.8372,0.64035,0.28421,0.00733,0.00111414,0.00111414,0.00111414
45,804.382,0.75731,0.43388,0.00635,0.97019,0.96292,0.9879,0.83466,0.64786,0.27042,0.00768,0.00110801,0.00110801,0.00110801
46,822.426,0.77613,0.46036,0.00647,0.95592,0.94345,0.98296,0.83382,0.61944,0.28241,0.00721,0.00110175,0.00110175,0.00110175
47,841.364,0.75252,0.43788,0.0063,0.94704,0.9527,0.98779,0.82874,0.66962,0.29874,0.00762,0.00109538,0.00109538,0.00109538
48,860.182,0.76662,0.40018,0.0066,0.94587,0.98639,0.98863,0.84225,0.61947,0.26057,0.00713,0.0010889,0.0010889,0.0010889
49,878.088,0.76898,0.41978,0.00646,0.95744,0.96396,0.98728,0.8398,0.61317,0.26359,0.00692,0.0010823,0.0010823,0.0010823
50,896.901,0.7624,0.41725,0.00651,0.9454,0.93736,0.98402,0.82852,0.65114,0.29625,0.00731,0.00107559,0.00107559,0.00107559
51,915.174,0.75123,0.4165,0.00635,0.94754,0.96561,0.9876,0.83625,0.63791,0.26401,0.00708,0.00106877,0.00106877,0.00106877
52,932.233,0.73081,0.39909,0.0062,0.96377,0.93424,0.98658,0.83383,0.65319,0.28028,0.00749,0.00106185,0.00106185,0.00106185
53,950.922,0.74619,0.41288,0.00624,0.93811,0.93463,0.98327,0.83095,0.65379,0.29236,0.00753,0.00105481,0.00105481,0.00105481
54,969.209,0.75592,0.4136,0.00625,0.97044,0.95207,0.98666,0.83463,0.61828,0.26199,0.00683,0.00104768,0.00104768,0.00104768
55,984.853,0.75241,0.3942,0.00601,0.94763,0.9748,0.98929,0.83341,0.68608,0.25847,0.00783,0.00104044,0.00104044,0.00104044
56,1000.41,0.70892,0.38204,0.00605,0.96514,0.95268,0.98411,0.82566,0.65345,0.26887,0.00712,0.0010331,0.0010331,0.0010331
57,1016.34,0.72076,0.38993,0.00592,0.94061,0.96701,0.98022,0.83131,0.62416,0.27531,0.00702,0.00102566,0.00102566,0.00102566
58,1033.49,0.7241,0.3775,0.00609,0.95689,0.94623,0.97994,0.83193,0.614,0.30278,0.00696,0.00101812,0.00101812,0.00101812
59,1052.54,0.71725,0.38594,0.00604,0.96722,0.9828,0.98866,0.82403,0.66417,0.26065,0.00764,0.00101049,0.00101049,0.00101049
60,1068.4,0.73488,0.38453,0.00597,0.97889,0.96404,0.98955,0.83582,0.63915,0.251,0.00735,0.00100276,0.00100276,0.00100276
61,1084.15,0.72989,0.37964,0.00606,0.95687,0.97871,0.98965,0.83868,0.62267,0.24521,0.0071,0.000994942,0.000994942,0.000994942
62,1100.07,0.70537,0.36864,0.00608,0.93652,0.97088,0.9852,0.84059,0.6119,0.26757,0.00697,0.000987034,0.000987034,0.000987034
63,1117.69,0.71465,0.38627,0.00607,0.98176,0.96882,0.99,0.84593,0.60675,0.2275,0.00686,0.000979039,0.000979039,0.000979039
64,1134.04,0.72903,0.3814,0.00594,0.94352,0.97202,0.9883,0.82389,0.63539,0.27145,0.00701,0.000970958,0.000970958,0.000970958
65,1149.58,0.72434,0.38514,0.00578,0.9562,0.95226,0.98631,0.83796,0.61867,0.29119,0.00727,0.000962793,0.000962793,0.000962793
66,1165.19,0.71218,0.39094,0.00588,0.96649,0.94175,0.98712,0.84255,0.62295,0.26035,0.00717,0.000954546,0.000954546,0.000954546
67,1179.93,0.70306,0.36981,0.00583,0.96568,0.93808,0.98895,0.84255,0.60284,0.25132,0.00675,0.000946219,0.000946219,0.000946219
68,1195.7,0.69704,0.35845,0.00574,0.97084,0.946,0.99012,0.84621,0.60391,0.24996,0.00681,0.000937815,0.000937815,0.000937815
69,1212.89,0.68576,0.34632,0.00548,0.97267,0.9653,0.98908,0.83783,0.61729,0.24237,0.007,0.000929335,0.000929335,0.000929335
70,1229.41,0.70242,0.37158,0.00578,0.95626,0.97252,0.98614,0.83948,0.59379,0.24472,0.00665,0.000920782,0.000920782,0.000920782
71,1244.84,0.68638,0.33794,0.00558,0.98273,0.95347,0.98263,0.84687,0.5841,0.25551,0.00658,0.000912157,0.000912157,0.000912157
72,1260.54,0.66984,0.34938,0.00548,0.96705,0.96281,0.98888,0.84902,0.59458,0.23247,0.00692,0.000903462,0.000903462,0.000903462
73,1275.81,0.68424,0.3571,0.00561,0.97316,0.97902,0.9906,0.85511,0.57273,0.23327,0.00641,0.000894701,0.000894701,0.000894701
74,1293.55,0.68543,0.32672,0.00562,0.97358,0.94865,0.99025,0.84989,0.62356,0.23866,0.00754,0.000885875,0.000885875,0.000885875
75,1311.29,0.68192,0.35444,0.00561,0.9628,0.97149,0.98848,0.84651,0.61603,0.23439,0.00703,0.000876985,0.000876985,0.000876985
76,1327.99,0.6842,0.34018,0.00573,0.97452,0.96059,0.991,0.84896,0.59271,0.23209,0.00673,0.000868035,0.000868035,0.000868035
77,1345.36,0.69785,0.34117,0.00576,0.98392,0.96942,0.98993,0.8549,0.58159,0.2259,0.00656,0.000859027,0.000859027,0.000859027
78,1362.27,0.69101,0.32048,0.00586,0.96518,0.96441,0.98751,0.85987,0.57204,0.22262,0.00653,0.000849963,0.000849963,0.000849963
79,1381.06,0.65136,0.31722,0.00534,0.95678,0.98727,0.99117,0.85279,0.57229,0.22055,0.00645,0.000840844,0.000840844,0.000840844
